Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
RC Toulon,2,1,1,3,3,2,2,1,2,1,2,1,1,2,3,3,2,2,1,1,1,1,1,1,1,1,2014
Stade toulousain,7,2,2,6,9,9,13,11,8,8,7,7,8,7,8,7,5,5,6,5,5,5,3,3,4,3,2014
SU Agen,10,14,13,13,14,14,14,14,13,13,14,14,14,14,13,13,13,14,14,14,14,14,14,14,14,13,2015
Union Bordeaux Bègles,7,11,10,10,7,7,5,7,7,6,5,5,8,5,4,4,4,5,5,5,7,7,6,7,7,7,2015
CA Brive,13,10,7,8,5,5,7,5,4,5,8,6,5,7,8,8,9,9,8,10,8,9,9,8,8,8,2015
Castres olympique,8,4,6,7,9,9,10,10,9,8,7,8,7,8,7,7,7,7,7,7,6,6,7,6,6,6,2015
ASM Clermont,1,1,1,1,1,1,1,1,1,1,3,2,4,4,3,2,2,1,1,1,1,1,1,1,1,1,2015
FC Grenoble,3,6,3,5,8,8,6,8,8,10,10,10,9,10,9,10,10,10,9,8,10,10,10,10,10,10,2015
Montpellier HR,2,5,4,2,2,2,4,6,6,7,6,7,6,6,6,6,5,4,3,2,2,2,2,3,2,3,2015
US Oyonnax,12,7,9,11,12,13,11,13,14,14,13,13,13,13,14,14,14,13,13,13,13,13,13,13,13,14,2015
Stade français Paris,5,8,12,14,10,12,12,11,10,11,12,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,2015
Section paloise,11,9,14,9,11,11,13,12,12,12,11,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,2015
Racing 92,6,3,5,4,4,3,2,3,2,4,2,1,1,1,2,1,1,2,4,3,4,3,4,4,4,4,2015
Stade rochelais,14,13,11,12,13,10,9,9,11,9,9,9,10,9,10,9,8,8,10,9,9,8,8,9,9,9,2015
RC Toulon,9,12,8,6,6,6,8,4,5,2,4,4,3,2,1,3,3,3,2,4,3,4,3,2,3,2,2015
Stade toulousain,4,2,2,3,3,4,3,2,3,3,1,3,2,3,5,5,6,6,6,6,5,5,5,5,5,5,2015
Aviron bayonnais,5,4,10,13,13,13,13,14,14,14,14,13,13,14,14,14,14,14,14,14,14.0,14.0,14.0,14.0,14,14,2016
Union Bordeaux Bègles,4,9,13,7,12,6,6,5,6,6,5,2,6,6,7,9,9,9,11,8,8.0,7.0,11.0,9.0,11,11,2016
CA Brive,8,3,1,6,4,9,7,7,10,8,9,9,10,9,11,10,10,10,9,9,10.0,9.0,8.0,11.0,10,8,2016
