Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année
RC Toulon,2008.0,30.7,9.0,Patrice Collazo Éric Dasalmartini Sébastien Tillous-Borde Casey Laulala,Stade Mayol (Toulon),18200.0,2019
Stade toulousain,1907.0,37.2,1.0,Ugo Mola  Régis Sonnes  Clément Poitrenaud  Laurent Thuéry  Virgile Lacombe  Alan-Basson Zondagh,Stade Ernest-Wallon (Toulouse),19500.0,2019
SU Agen,2017.0,13.2,13.0,Philippe Sella. Christophe Laussucq. Rémy Vaquin. Benoît Lecouls. Régis Sonnes. David Ortiz. Sylvain Mirande,Stade Armandie (Agen),14042.0,2020
Aviron bayonnais,2019.0,15.6,9.0,Yannick Bru. Joël Rey. Rémy Ladauge,Stade Jean-Dauger (Bayonne),16934.0,2020
Union Bordeaux Bègles,2011.0,25.3,1.0,Christophe Urios. Frédéric Charrier. Julien Laïrle. Jean-Baptiste Poux.  Heini Adams,Stade Chaban-Delmas (Bordeaux),33290.0,2020
CA Brive,2019.0,15.5,11.0,Jeremy Davidson  Marc Dal Maso. Jean-Baptiste Péjoine,Stade Amédée-Domenech (Brive-la-Gaillarde),13979.0,2020
Castres olympique,1989.0,23.0,10.0,Mauricio Reggiardo  Stéphane Prosper. Pierre-Henry Broncan. David Darricarrère  Joe Worsley,Stade Pierre-Fabre (Castres),12500.0,2020
ASM Clermont,1925.0,28.9,6.0,Franck Azéma. Bernard Goutta. Xavier Sadourny. Didier Bès  Benson Stanley,Stade Marcel-Michelin (Clermont-Ferrand),19022.0,2020
Lyon OU,2016.0,32.9,2.0,Pierre Mignoni. David Gérard. David Attoub  Kendrick Lynn,Matmut Stadium Gerland (Lyon),35029.0,2020
Montpellier HR,2003.0,29.1,8.0,Xavier Garbajosa. Pierre-Philippe Lafond. Philippe Saint-André. Olivier Azam. Jean-Baptiste Élissalde,GGL Stadium (Montpellier),15697.0,2020
Stade français Paris,1997.0,38.8,14.0,Gonzalo Quesada  Laurent Sempéré. Julien Arias,Stade Jean-Bouin (Paris),20000.0,2020
Section paloise,2015.0,22.5,12.0,Nicolas Godignon. Frédéric Manca. Thomas Domingo. Geoffrey Lanne-Petit. Sébastien Piqueronies  Paul Tito,Stade du Hameau (Pau),14588.0,2020
Racing 92,2009.0,28.9,3.0,Laurent Travers. Dimitri Szarzewski  Mike Prendergast  Patricio Noriega.,Paris La Défense Arena (Nanterre),32000.0,2020
Stade rochelais,2014.0,25.9,5.0,Jono Gibbes  Ronan O'Gara  Grégory Patat,Stade Marcel-Deflandre (La Rochelle),16000.0,2020
RC Toulon,2008.0,32.5,4.0,Patrice Collazo. Éric Dasalmartini. Julien Dupuy,Stade Mayol (Toulon),18200.0,2020
Stade toulousain,1907.0,36.6,7.0,Ugo Mola. Jean Bouilhou. Clément Poitrenaud. Laurent Thuéry. Virgile Lacombe  Alan-Basson Zondagh,Stade Ernest-Wallon (Toulouse),19500.0,2020
Stade toulousain,1907.0,37.3,1.0,Ugo Mola,Stade Ernest-Wallon. Toulouse,19500.0,2021
Stade rochelais,2014.0,27.9,2.0,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16000.0,2021
Racing 92,2009.0,29.1,3.0,Laurent Travers,Paris La Défense Arena. Nanterre,32000.0,2021
Union Bordeaux Bègles,2011.0,26.2,4.0,Christophe Urios,Stade Chaban-Delmas. Bordeaux,34694.0,2021
ASM Clermont,1925.0,31.2,5.0,Jono Gibbes,Stade Marcel-Michelin. Clermont-Ferrand,19022.0,2021
Stade français Paris,1997.0,39.1,6.0,Gonzalo Quesada,Stade Jean-Bouin. Paris,20000.0,2021
Castres olympique,1989.0,22.8,7.0,Pierre-Henry Broncan,Stade Pierre-Fabre. Castres,12500.0,2021
RC Toulon,2008.0,32.0,8.0,Franck Azéma,Stade Mayol. Toulon,18200.0,2021
Lyon OU,2016.0,36.0,9.0,Pierre Mignoni,Matmut Stadium Gerland. Lyon,35029.0,2021
Montpellier HR,2003.0,28.6,10.0,Philippe Saint-André,GGL Stadium. Montpellier,15697.0,2021
CA Brive,2019.0,17.6,11.0,Jeremy Davidson,Stade Amédée-Domenech. Brive-la-Gaillarde,13979.0,2021
Section paloise,2015.0,22.6,12.0,Sébastien Piqueronies,Stade du Hameau. Pau,14588.0,2021
USA Perpignan,2021.0,17.4,15.0,Patrick Arlettaz,Stade Aimé-Giral. Perpignan,14593.0,2021
Biarritz Olympique,2021.0,12.8,17.0,Matthew Clarkin,Parc des sports d'Aguiléra. Biarritz,13400.0,2021
Castres olympique,1989.0,23.4,1.0,Pierre-Henry Broncan,Stade Pierre-Fabre. Castres,12500.0,2022
Montpellier HR,2003.0,30.4,2.0,Philippe Saint-André,GGL Stadium. Montpellier,15697.0,2022
